01. Deepika Padukone
02. Kajal Agarwal
03. Priyanka Chopra
04. Kareena Kapoor
05. Kangana Ranaut
06. Katrina Kaif
07. Alia Bhatt
08. Sara Ali Khan
09. Shraddha Kapoor
10. Kriti Sanon
11. Jacqueline Fernandez
12. Sonakshi Sinha
13. Sonam Kapoor
14. Madhuri Dixit
15. Anushka Sharma
16. Aishwarya Rai
17. Yami Gautam
18. Kajol
19. Shilpa Shetty
20. Rakul preet singh
21. Tamannaah Bhatia
22. Shruti Haasan
23. Adah Sharma
24. Amy Jackson
25. Samantha Ruth Prabhu
